Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
Before that, Mr Chan met with the Chairman of the Board of Governors of the US Federal Reserve System, Mr Jerome Powell, to exchange views on matters of mutual interest.	之前，陈茂波会晤美国联邦储备局主席鲍威尔，双方就共同关注的议题交换意见。
The committee received the report from the Hong Kong Stock Exchange on the work so far in relation to the recommendations by the FSDC.	委员会听取了香港交易所的有关工作进度报告，并提供意见。
In addition, Hong Kong can provide professional arbitration and mediation services for infrastructure projects.	香港更可为基建项目提供专业的仲裁及调解服务。
Financial Secretary:	财政司司长：
Ends/Monday, November 17, 2014Issued at HKT 21:40	２０１４年１１月１７日（星期一）香港时间２１时４０分
To develop the asset and wealth management sectors, the Government proposes extending the profits tax exemption to onshore privately offered open-ended fund companies. This will help attract more funds to domicile in Hong Kong and build Hong Kong's fund manufacturing capabilities.	为发展资产和财富管理业，政府建议把利得税豁免的范围扩大，涵盖在岸以私人形式发售的开放式基金型公司，从而吸引基金来港注册，发挥香港的基金制造能力。
Mr Tsang thanked the Sultan for the hospitality offered to his delegation. He also invited Brunei businessmen to make better use of the well-established capital market in Hong Kong and use Hong Kong as a gateway to tap business potential in China.	曾俊华感谢苏丹对代表团的友好款待，并诚邀汶莱商人善用香港发展完备的资本市场，以香港作为通往内地的门户，拓展商机。
Mr Tsang first met the Singaporean Finance Minister, Mr Tharman Shanmugaratnam.	曾俊华首先会见新加坡财政部长尚达曼。
Ends/Tuesday, May 5, 2009Issued at HKT 12:41	２００９年５月５日（星期二）香港时间１２时４０分
The Action Agenda on "China's 11th Five-Year Plan and the Development of Hong Kong" published early this year has proposed a greater use of Hong Kong's financial platform to facilitate orderly outflows of funds from the Mainland, including the permission of Mainland individuals to remit "self-owned" foreign currency funds out of the Mainland and make investments offshore without going through QDII scheme (Recommendation F2-11, or the "free-walk" scheme for funds in short).	今年初发表的《「十一五」与香港发展》经济峰会行动纲领（「十一五」行动纲领）提出了更好利用香港金融平台让内地资金「走出去」的建议，其中包括允许内地个人无须通过QDII安排把自有外汇汇到境外，进行投资理财（建议F2-11，简称资金自由行安排）。
They discussed Hong Kong's latest overall economic situation and the impact of global economic situation on Hong Kong. The Chairman of the National Committee of the Chinese People's Political Consultative Conference, Mr Yu Zhengsheng, yesterday (April 24) met with the Financial Secretary and other guests of the Fourth Economic and Financial Forum.	此外，中国人民政治协商会议全国委员会（全国政协）主席俞正声昨日（四月二十四日）会见了财政司司长以及其他出席第四届两岸及香港《经济日报》财经高峰论坛的嘉宾。
"Norman has been leading the HKMA since 2009 and has worked tirelessly over the years to strengthen the city's monetary and banking systems and promote Hong Kong's position as an international financial centre in Asia.	「陈德霖自二○○九年起领导金管局，多年来不辞劳苦地强化香港的货币及银行体系，推动香港成为亚洲国际金融中心。
In the morning, Mr Tsang met with Vietnam's Minister of Finance, Mr Vuong Dinh Hue, prior to the Conference on Global Financial Economic Challenges 2012.	早上，曾俊华与越南财政部部长王廷惠会面。
“Joseph and I have been working closely and productively since July last year.	我跟任先生自去年七月以来，一直合作无间。
We are working very hard on that.	我们正在这方面努力中。
Mr Tsang announced a nearly $20 billion relief package that includes tax rebates, rates concessions and public housing rental waivers, to provide financial assistance to the community during the economic recovery.	曾俊华宣布总值约二百亿元的纾缓措施，包括扣减税项、宽免差饷和代缴公屋租金，以助市民在经济复苏中纾困。
We must leverage our strength and take a forward-looking approach in positioning our future development and seeking new impetus. This will enable our economy to grow in a diversified manner, provide our young people with more room for development and improve people’s quality of life.	香港有必要因应自身优势，以前瞻角度，为未来发展定位和寻找新动力，促进经济多元，为年轻人提供更广阔的发展空间，并提升市民的生活质素。
It also aims at encouraging private investment in projects, enterprises and activities contributing to economic development in the region.	亚投行也鼓励私营资本参与投资有利于区域经济发展的项目、企业和活动。
Mr Tsang noted that negotiations for a free trade agreement (FTA) between Hong Kong and the Association of Southeast Asian Nations would likely be concluded this year, and that the Government would seek to participate in the FTAs that have been, or will be, concluded between the Mainland and other countries.	曾俊华指出，香港与东南亚国家联盟的自由贸易协定谈判，期望可于今年内完成。 政府亦会积极争取参与国家与其他地区已缔结或将缔结的自贸协定。
The Government also announced the appointment of two new members and the re-appointment of five incumbent members by the Financial Secretary.     Mr Raymond Cheng Siu-hong and Mrs Fanny Law Fan Chiu-fun have been appointed as new board members of the HKSTPC for a period of two years from July 1, 2013.     Ms Nisa Leung Wing-yu, Professor Paul Tam Kwong-hang, Ms Winnie Yeung Cheung-wah, Professor Kenneth Young and Professor Albert Yu Cheung-hoi have been re-appointed as board members for a period of two years with effect from the same date.	郑小康及罗范椒芬获委任为香港科技园公司董事局的新成员，任期两年，由二○一三年七月一日起生效。 梁颖宇、谭广亨教授、杨长华、杨纲凯教授及于常海教授则获再度委任为香港科技园公司董事局成员，任期两年，同由上述日期起生效。
Ends/Monday, January 30, 2012Issued at HKT 18:50	２０１２年１月３０日（星期一）香港时间１８时４８分
He was appointed Director of the Chief Executive Office of the Hong Kong Government in July 2007.	他在二零零七年七月被委任为行政长官办公室主任。
In the afternoon, Mr Chan, joined by the Secretary for Financial Services and the Treasury, Mr James Lau, visited Yad Vashem, the World Holocaust Remembrance Center, where they laid a wreath to mourn the Holocaust victims.	下午，陈茂波联同财经事务及库务局局长刘怡翔到访犹太大屠杀纪念馆，并献花悼念死难者。
Ends/Friday, March 10, 2017	2017年3月10日（星期五）
Later, Mr Chan visited the Free Methodist Church Tuen Mun Children and Youth Integrated Services Centre.	其后，陈茂波参观循理会屯门青少年综合服务中心。
He will also meet the President and Chairman of Board of VTB, Mr Andrei Kostin, before attending a reception hosted by the Hong Kong Tourism Board (HKTB).	另外，他将分别与莫斯科国际货币及股票交易所总裁Konstantin N. Korischenko、VTB银行总裁兼董事局主席Andrei Kostin会面，以及出席香港旅游发展局的酒会。
In the evening, Mr Tsang will officiate at the launching of the "Creative Hong Kong in London" exhibition at Harvey Nichols.	晚上，他将会出席Harvey Nichols「创意香港现伦敦」展览活动的启动仪式。
Ends/Thursday, May 24, 2018	2018年5月24日（星期四）
The nursing home provides more than 200 subsidised residential care places for elders.	该护养院为可容二百余住院名额的新型资助护老院舍。
He has also re-appointed two incumbent members of the MPFSAC, namely Dr Roy Chung Chi-ping and Mr Lam Chun-sing.	他亦再度委任两名现任咨询委员会成员，分别为钟志平博士及林振升。
FS starts visit to Wuhan (with photos)	财政司司长展开武汉访问行程（附图）
The two places also agreed on the preferential tariff treatments for consignments routed through Hong Kong under the Economic Co-operation Framework Agreement (ECFA) with effect from January 1, 2011.	两地亦同意自二○一一年一月一日起，就《海峡两岸经济合作框架协议》（ECFA）下经香港转运货物的通关关税优惠。
* reducing profits tax for 2013-14 by 75 per cent, subject to a ceiling of $10,000 at a cost of about $1 billion;	＊　宽减二零一三／一四年度百分之七十五的利得税，上限为一万元，政府收入将减少约十亿元；
This is the first issuance of US dollar sovereign bonds after Hong Kong's return to the motherland. Not only does it demonstrate the Central Government’s support in reinforcing Hong Kong's status as an international financial centre, but it is also conducive to the development of local bond market.	这是香港回归以来，财政部第一次在香港发行美元国债，这不单反映中央政府对巩固香港作为国际金融中心的支持，更有助香港的债券市场发展。
Ends/Monday, October 22, 2018	2018年10月22日（星期一）
Co-organised by YWETS of the Labour Department, the Hong Kong Federation of Youth Groups and the Airport Authority, the project provides young people with on-the-job-training at the airport. Participants are trained to provide instant services and assistance to travellers, through which their employability is expected to improve.	这个计划由劳工处「青见计划」、香港青年协会及机管局合办，为青年提供在职培训，让学员在机场接受实地训练，为旅客提供即时服务和协助，也借此提升学员的就业能力。
"Government departments and the public sector should conduct expenditure reviews and introduce efficiency measures with a view to doing more with less."	「政府部门和公营机构需检讨开支情况，研究如何提升效率，厉行节约，力求事半功倍，以较少资源达到较大效益。」
On May 28, Mr Tsang will brief Austrian media before going to the Austrian National Bank for talks with its Governor, Dr Klaus Liebscher, and addressing a business lunch hosted by the bank’s Chief Executive Officer, Dr Erich Hampel.	在五月二十八日，曾俊华在早上将先与奥地利传媒见面，然后前往奥地利国家银行与行长会面 ，并在银行总裁的午宴上致辞。
Following is a transcript of remarks by the Financial Secretary, Mr Paul Chan, after attending a radio programme this morning (February 25):	以下是财政司司长陈茂波今日（二月二十五日）上午出席电台节目后会见传媒的谈话全文： 财政司司长：
Ends/Tuesday, June 30, 2015Issued at HKT 17:21	２０１５年６月３０日（星期二）香港时间１７时２３分
Financial Secretary:	财政司司长：
and to upgrade the service quality of the tourism industry.	和提升旅游业服务质素。
“We are also up-beat about the synergy that the expansion in wine-related economic activities may generate for the promotion of tourism, the hospitality industry, as well as wine education and culture.	「葡萄酒相关经济活动的增长有助推动旅游、款待服务业，以及葡萄酒教育和文化，我们对其带来的协同效应感到乐观。」
This was followed by a luncheon meeting hosted by the Governor of South African Reserve Bank, Ms Gill Marcus. Both sides exchanged views on issues of mutual concern and interest.	曾俊华其后出席南非中央银行──南非储备银行总裁Gill Marcus宴请的午餐会，双方就共同关注事宜交换意见。
He then visited Alice Ho Miu Ling Nethersole Hospital and listened to an introduction by the Hospital Chief Executive, Dr Man Chi-yin.	其后，他参观雅丽氏何妙龄那打素医院，并听取行政总监文志贤医生讲解医院运作。
During 2007-09, CEPA-induced business receipts obtained by operations established by HKSS in the Mainland amounted to HK$198.5 billion.	二零零七至零九年期间，香港服务提供者藉《安排》在内地设立的企业，获得累计约港币1,985亿元的业务收益。
In the evening, Mr Tsang will attend a dinner hosted in his honour by Brunei's Second Minister of Finance, Pehin Dato Abdul Rahman Ibrahim.	曾俊华傍晚会出席汶莱第二财政部长阿卜杜拉‧拉赫曼为款待他来访的晚宴。
I shall set out proposals on bolstering Hong Kong's position as an international hub, the promotion of industries, the keys and limits to development, and fiscal sustainability.	我会就香港作为国际枢纽、产业的推动、发展的要素和限制、财政的可持续性提出一些建议。
Given recent developments, I have revised downwards our full-year GDP forecast for 2009 to between minus 5.5 and minus 6.5 per cent in real terms. The previous forecast was for a decline of between 2 and 3 per cent.     We may be experiencing at this time the worst period of the crisis.	鉴于香港经济在第一季严重收缩，亦考虑到预算案后环球经济展望大幅下调，我决定将今年全年的经济预测亦作出下调，由预算案时的预测收缩2-3%下调至收缩5.5-6.5%。
He said:	他说：
Ends/Tuesday, August 19, 2008Issued at HKT 16:50	２００８年８月１９日（星期二）香港时间１６时２７分
Hong Kong has the right experience and the right contacts to assist French firms in developing their Renminbi business, he added.	他表示，香港具备相关经验和营商网络，定能协助法国企业拓展人民币业务。
The two enterprises specialise in alloy die casting and plastic mould injection, and manufacturing of cover glass for mobile phones and watches.	该两家企业分别专营合金压铸和注塑，以及手机和手表面板生产。
Noting that Hong Kong is more than a business hub, he told Italian business and political leaders about how people enjoy a good life in Hong Kong.	他向意大利政商界领袖表示香港不仅是营商之都，更是旅游消闲的好地方。
Mei Lam Shopping Centre, Sha Tin	沙田禾𪨶广场 沙田博康商场
Recent statistics indicate the pace of economic recovery in the US is slowing down. It is unclear whether the US economy can maintain growth momentum when the effects of various governmental stimulus measures fade away.	近期多项数据显示，美国经济增长步伐正在减慢，随着刺激经济措施的效应在未来几季逐步减退，今后能否维持相当的经济动力仍是未知数。
The programme will be broadcast live on TVB-Jade at 12.05pm.	无线电视翡翠台下午十二时零五分直播。
In addition to the one-off tax reduction, the Financial Secretary proposed to increase the child allowance and the additional child allowance in the year of birth to alleviate taxpayers' burden of raising children.	除了上述的一次性税款宽减外，财政司司长建议提高子女免税额，以减轻纳税人养育子女的负担。
Transcript of remarks by Acting FS at media session (with video)	署理财政司司长会见传媒谈话全文（附短片）
During his stay, Mr Chan will also call on senior government officials of Tianjin, and hold bilateral meetings with other officials attending the Summer Davos forum.	在天津期间，他亦会拜会天津市领导，并跟其他与会代表举行双边会议。
The Mission considered the demand-side management measures effective in restraining excess demand.	代表团认为需求管理措施有效遏抑过度需求，当中包括自二零零九年以来推出的宏观审慎措施。
* Phasing out 82 000 Euro III, or earlier, diesel commercial vehicles by the end of 2019, involving an ex-gratia payment of $11.4 billion.	＊　在二零一九年年底前淘汰八万二千辆欧盟三期或以前的柴油商业车，涉及一百一十四亿元的特惠资助，现时已经淘汰二万二千辆；
"Like Mumbai, Hong Kong is developing Islamic retail funds to attract Muslim investment.	「香港像孟买一样，正在发展伊斯兰零售基金以吸引伊斯兰教教徒的投资。
These elements will continue to enable the economy to embrace the challenges ahead arising from the changing external environment.	这些条件均令香港有能力应对外围环境变化带来的挑战。
The Financial Secretary forecast a deficit of $9.8 billion in the Operating Account and a deficit of $39.9 billion in the Consolidated Account for 2009-10.     He predicted a return to surplus in the Operating Account for 2012-13.	财政司司长预计，二○○九至一○年度经营帐目会出现98亿元赤字，而综合帐目会有399亿元赤字。 他预计经营帐目到在二○一二至一三年度会回复盈余。
Up till now, the Securities and Futures Commission is not aware of any major issues so far.	直至目前为止，证券及期货事务监察委员会未察觉市场有任何重大异常情况。
The Financial Secretary, Mr John C Tsang, visited the Shanghai Disneyland project this afternoon (April 10), following the third plenary session of the Hong Kong/Shanghai Economic and Trade Co-operation Conference in the morning.	财政司司长曾俊华今日（四月十日）上午在上海出席沪港经贸合作会议第三次会议后，下午参观上海迪士尼乐园项目。
He also announced a series of relief measures to ease the financial burden, including:	他提出一系列利民纾困措施，包括：
- In respect of the mode of "commercial presence", the negative list covers 134 services trade sub-sectors setting out 132 measures as inconsistent with or inapplicable to the obligation of national treatment.	＊　针对「商业存在」服务模式的负面清单，覆盖134个服务贸易分部门，共列出132项不符合或不适用国民待遇的措施。
Before concluding the visit, Mr Chan met with members of the TPDC to exchange views on various livelihood and development issues of the district. Photo	结束访问前，陈茂波与大埔区议员会面，就当区各项民生和发展议题交换意见。 图片
Siu Sai Wan Plaza, Chai Wan	柴湾环翠商场 筲箕湾爱东商场
The recurrent expenditure for education, welfare and healthcare will still be the main areas of government expenditure, accounting for about 60 per cent of the total, representing an increase of 43 per cent over the past five years.	在经常开支方面，值得留意的是教育、福利和医疗衞生仍然是最重要的投资范畴，总共达到经常性开支六成，约2,100亿元。
Speaking at the signing ceremony, the Financial Secretary Mr John C Tsang said:	在签署仪式上，财政司司长曾俊华说：
Financial Secretary:	财政司司长：
"Complemented by these Budget initiatives, I trust our efforts and investments in promoting the internationalisation and diversification of the higher education sector will bear fruit, which will reinforce the position of Hong Kong as the regional education hub."	「我相信，结合这些财政预算案中的新措施，我们在推动高等教育国际化及多元化发展的努力及投资将见成效，并有助进一步巩固香港作为教育枢纽的地位。」
Ends/Tuesday, December 8, 2015Issued at HKT 20:22	２０１５年１２月８日（星期二）香港时间２０时２１分
"Their service to the SFAT provided an effective safeguard for the proper regulation of the securities and futures industry in Hong Kong," the spokesman said.	发言人说： 「他们在上诉审裁处的服务，有效确保本港证券及期货业界的适当规管。」
Ends/Wednesday, February 27, 2013Issued at HKT 13:02	２０１３年２月２７日（星期三）香港时间１３时０２分
Recognising that the measures would cause cash flow problems for Hong Kong enterprises operating on the Mainland, the SAR Government has maintained close contact with the Ministry of Commerce and other relevant ministries to reflect the concerns of the industry. Proposals were also made to request the Central Government to accept payment of the standing book deposit in the form of bank guarantee.	特区政府明白到上述措施影响广泛，会为在内地的港资企业造成资金周转问题，因此多次向商务部及其他有关部委反映，希望中央政府容许企业以「银行担保」等作为台账保证金。
Financial Secretary:	财政司司长：
Ends/Monday, February 12, 2018	2018年2月12日（星期一）
He has assumed the position of CEO of the SFC since October 1, 2011, prior to which he was a partner and Head of Asia of Herbert Smith.	欧达礼自二零一一年十月一日出任证监会行政总裁。
Announcing the appointment today (January 12), a Government spokesman said, "The Advisory Committee of the SFC comprises practitioners from a wide array of professions. They possess operational experience and professional knowledge about the financial market.	政府发言人今日（一月十二日）公布任命时表示： 「证监会咨询委员会由来自不同专业范畴的人士组成，他们拥有金融市场的实际运作经验及专业知识。
It believes that the risks to the global economy argue for a supportive fiscal stance to be maintained in the 2010-11 Budget.	鉴于全球经济所面对的风险，基金组织认为在二○一○／一一年度的财政预算案应继续维持积极的财政政策。
(5) Both sides agreed to proactively consider proposals to strengthen exchanges and co-operation between law enforcement officers in Hong Kong and Taiwan with a view to combating cross-boundary criminal activities;	（五）双方同意积极探讨加强港台两地执法人员的交流与合作，以打击跨境犯罪行为；
It provides a comprehensive range of services to cater for the needs of industry at various stages, including nurturing technology start-ups through the incubation programme, providing premises and services for applied research and development activities, and providing developed land for production.	该公司提供一系列完善的服务，全面照顾产业在各阶段的不同需要，包括通过培育计划培育新晋的科技公司、为应用研究发展活动提供设备和服务，以及为生产工序提供土地。
This measure will cost the Government $9.4 billion, benefiting about 1.65 million taxpayers.	这项措施会使政府少收94亿元税款，共约165万名纳税人可受惠。
The Chief Executive will deliver his Policy Address on January 15, 2014, while the Financial Secretary will present the 2014-15 Budget to the Legislative Council on February 26, 2014.	行政长官将于二○一四年一月十五日发表《施政报告》，财政司司长将于二○一四年二月二十六日向立法会提交二○一四／一五年度《财政预算案》。
Besides affecting local business, the protests had also hurt Hong Kong's international image, Mr Tsang said.	曾俊华说，占领行动不但影响本地经济，还损害香港的国际形象。
I am sure that the MPFSAC, under the able leadership of its Chairman, Mr Wong Ting-kwong, and its Deputy Chairlady, Mrs Diana Chan, and supported by its members, will render wise counsel to the MPFA in its pursuit of improving the MPF System."	我有信心咨询委员会在主席黄定光先生及副主席陈唐芷青女士的有效带领并在各成员的支持下，能对积金局提供宝贵意见，以支持该局持续改进强积金制度。」
Leaders of major economies in the world will discuss a wide range of issues of mutual concern at the G20 Leaders' Summit.	全球主要经济体的领导人将于峰会上讨论大家共同关注的议题。
The contribution made by the Hong Kong Customs in this regard was highly acknowledged. Mr Tsang also said that more recently the Hong Kong Customs had joined with relevant government departments and the Consumer Council to ensure the safety of consumer goods and to prevent unscrupulous sales activities.	他留意到，因应近日市民对消费品安全和不良销售手法的关注，香港海关积极配合其他部门及消费者委员会，加强抽验在市面出售的产品和对不良店舖采取执法行动。
This year, the annual conference has attracted around 200 delegates from 62 jurisdictions.	是次周年会议吸引了约200名来自62个司法管辖区的代表出席。
At a networking reception co-organised by the Hong Kong Economic and Trade Office in Sydney and the Hong Kong Australia Business Association, Mr Tsang spoke on the opportunities Hong Kong can offer Australian business.	曾俊华在香港驻悉尼经济贸易办事处及香港澳洲商会合办的酒会上，向澳洲商界讲述香港的机遇。
The PRP is an independent panel established by the Chief Executive to review the internal operational procedures of the SFC and to determine whether the SFC has followed its internal procedures, including procedures for ensuring consistency and fairness.	覆检委员会是由行政长官成立的独立委员会，负责检讨证监会的内部运作程序，并确定证监会有否遵从其内部程序，包括确保贯彻一致和公平公正的程序。
Expenditure on these three areas, amounting to some 60 per cent of overall expenditure, has increased by some 30 to 40 per cent when compared with the 2007-08 fiscal year.	本年度，我们在这三方面的支出，差不多占全部开支的六成，较二○○七至○八年度已经分别增加了三成至四成，增幅之多，有目共睹。
He will call on senior government officials of Kazakhstan, speak at a business luncheon organised by the Hong Kong Trade Development Council, and meet with the senior management of the Astana International Financial Centre.	他将拜会哈萨克斯坦政府高层官员，继而在香港贸易发展局举办的商务午餐会致辞，并与阿斯塔纳国际金融中心高层管理人员会面。
Mr Chan first met with members of the YLDC to learn more about the latest developments in the district and exchange views on matters of mutual interest.	陈茂波先与元朗区区议员会面，了解当区的最新发展，并就大家关心的议题交换意见。
Mr Tsang will also attend a dinner hosted by the Chinese Ambassador to Saudi Arabia, Mr Li Chengwen.	结束首日行程前，曾俊华会出席中国驻沙特大使李成文的晚宴。
FS to visit Heilongjiang and Vladivostok	财政司司长访问黑龙江省及符拉迪沃斯托克市
Opening statement by FS at press conference on "Economic Situation in Second Quarter of 2010 and Latest GDP and Price Forecasts for 2010" (with photo/video)	财政司司长在二○一○年第二季经济情况及二○一○年本地生产总值和物价修订预测记者会开场发言（附图／短片）
Mr Tsang then called on the Assistant to the President for Economic Policy and Director of the National Economic Council, Mr Allan Hubbard.	他首先出席了商业圆桌会的早餐会，然后拜会美国白宫首席经济顾问兼国家经济会议主席哈伯特。
Mr Tsang will depart Hong Kong late on Saturday (May 24) to attend a range of meetings with government and private sector leaders concerned with business, banking, economics and finance.	曾俊华将于星期六（五月二十四日）深夜离港，与到访国家的政府官员以及商界、银行界和财经界的领袖会面。
* Supporting collaboration between a non-profit organisation, private service providers and community organisations to provide affordable Internet services and computer hardware to low-income families.	＊透过非牟利机构，与私人市场服务供应商和社区机构合作，为低收入家庭提供价钱相宜的互联网服务和电脑硬件。
Ends/Friday, December 14, 2018	2018年12月14日（星期五）
The Securities and Futures Commission is not aware of any major issues.	证券及期货事务监察委员会并未察觉市场有任何重大异常情况。
I'm here today to brief you on our latest economic figures as well as further precautionary measures that we will be taking to meet the economic challenges ahead, particularly with reference to the property market.	所以，我希望亲自为大家简介最新的经济情况，同时亦会介绍我们因应未来的经济挑战，特别是防范资产泡沫风险的新措施。
The Vice Minister of the Ministry of Finance, Mr Wang Jun, stressed that the Mainland has a solid economic foundation and confidence in maintaining steady economic growth and a soft landing for the economy.	国家财政部副部长王军重申，内地经济基调良好，有信心可以维持稳定增长，经济可以软着陆。
Compared to this time last year, the economic conditions in Hong Kong and around the world have changed dramatically.	今年撰写预算案的时候，正值金融风暴，经济环境与过去有天渊之别。
The evening was attended by more than 200 guests, including Deputy Premier, Treasurer and Minister for Infrastructure Anna Bligh, Parliamentary Secretary to the Minister for Environment and Multiculturalism, Queensland Parliament Mr Michael Choi, Mayor of Ipswich Councillor Paul Pisasale, Chairman of the Brisbane City Council's City Businesses Committee Councillor Kevin Bianchi, Chair of the Pacific Film and Television Commission Sir Llewellyn Edwards, and Chief Executive Officer of the Commission Mr Robin James, and the Executive Director of the festival Ms Anne Demy-Geroe.	超过二百名宾客出席今晚酒会，包括昆士兰州副州长兼财政厅厅长及基础建设厅厅长 Anna Bligh、昆士兰州环境及多元文化事务厅厅长议会次长蔡伟民、Ipswich市市长 Paul Pisasale议员、布里斯班市政府商业委员会主席Kevin Bianchi议员、太平洋电影及电视委员会主席Sir Llewellyn Edwards, AC及总裁Robin James，以及布里斯班国际电影节行政总裁 Anne Demy-Geroe。
FS attends 5th World Internet Conference in Wuzhen (with photos)	财政司司长在乌镇出席第五届世界互联网大会（附图）
On Thursday (February 2), the Financial Secretary will attend a joint radio phone-in programme at 8am to answer Budget questions from members of the public.	财政司司长亦会于星期四（二月二日）上午八时出席电台联合特备节目「财政司司长热线」，解答市民有关财政预算案的问题。
There is also a new $63 million education programme for Internet users which is expected to provide about 500 jobs.	还有6,300万元预留以教育互联网用户，预料可以创造约500个职位。
“Besides creating jobs directly, these measures will also provide training and job opportunities specifically to those in need, including young people, graduates, women, the middle-aged and the disabled,” Mr Tsang said.	曾俊华说： 「上述措施除了直接创造职位外，亦为有需要的人士，包括青年人、毕业生、妇女、中年人及残疾人士提供培训及入职机会。」
The Hong Kong/Malaysia CDTA has incorporated the latest Organisation for Economic Co-operation and Development standard on exchange of information.	香港与马来西亚的全面性协定采用了经济合作与发展组织的最新资料交换准则。
Mr Tsang concluded the day by visiting Roppongi Hills Mori Tower, which is the centrepiece of the Roppongi Hills urban redevelopment with a mix of office space, arts and cultural facilities and tourist attractions.	森大厦是六本木市区重建的灵魂建筑，糅合商用办公室、文化艺术设施和观光景点。
At the initial stage, the scheme will support 14 centres equipped with a total of about 250 computers and related facilities, and training programmes to serve different needy communities including youth, the elderly and women.	「试点计划」的首阶段将支援十四间数码地区中心，合共提供约二百五十部电脑、相关的资讯及通讯科技设施和培训课程，以服务区内不同社群，包括青少年、长者、妇女等。
The three pieces of subsidiary legislation will be tabled before the Legislative Council on March 20, 2019, for negative vetting and will come into operation on August 1, 2019.	三项附属法例于二○一九年三月二十日举行的立法会会议上提交立法会省览，进行先订立后审议程序，并于二○一九年八月一日生效。
To date, participating organisations of the Wi-Fi.HK brand include Hong Kong Telecommunications (HKT) Limited, Hong Kong Broadband Network Limited, Hutchison Global Communications Limited, Y5ZONE Limited, Airport Authority Hong Kong, the Hong Kong Science and Technology Parks Corporation and Hong Kong Cyberport Management Company Limited.	至目前为止，参与「Wi-Fi.HK」品牌计划的机构包括香港电讯有限公司、香港宽频网络有限公司、和记环球电讯有限公司、Y5ZONE有限公司、香港机场管理局、香港科技园公司和香港数码港管理有限公司。
After the lunch, Mr Tsang met the Governor of the Czech National Bank, Mr Zdenek Tuma, to discuss latest developments and brief him on Hong Kong and the region.	午宴后，曾俊华与捷克国家银行行长Zdenek Tuma会面，讨论近期发展，并向他简介香港及亚洲区的情况。
Ms Zee is the Deputy Chief Executive and Managing Director of Haitong International Capital Limited. She is currently a member of the Securities and Futures Appeals Tribunal and the Sir Murray MacLehose Trust Fund Investment Advisory Committee.	徐闵现为海通国际资本有限公司副行政总裁兼董事总经理。 她亦是证券及期货事务上诉审裁和麦理浩爵士信托基金投资顾问委员会的成员。
The objective is to ease the burden on residents brought about by inflation. Therefore, measures that will further aggravate inflation will not be considered.	今次推出纾困措施的目的，主要是纾缓市民的通胀压力，所以一些会刺激通胀的措施，我是不会考虑。
These include: * Extending the application period for special concessionary measures under the SME Financing Guarantee Scheme for one year;	＊　建议将「中小企融资担保计划」下特别优惠措施的申请期延长一年；
Besides providing support to enterprises and preserving jobs, we have kept in focus the needs of our working class.	除了向企业提供支援，保障就业，我们并没有忽略社会上的打工仔女。
